City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Riviere-Au-Renard,CA,50.29,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
2,Zhangye,CN,53.31,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
3,San Javier,ES,71.64,few clouds,37.8063,-0.8374,Hotel Mar Menor
4,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Bluff,NZ,52.81,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
7,Turayf,SA,68.25,clear sky,31.6725,38.6637,Turaif
9,Dimona,IL,64.04,overcast clouds,31.0667,35.0333,Desert Sounds Hotel
11,Lagoa,PT,56.68,light rain,39.05,-27.9833,Casa Das Faias
12,Thompson,CA,51.96,scattered clouds,55.7435,-97.8558,Burntwood Hotel
13,Mataura,NZ,52.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
14,Puerto Escondido,MX,88.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
15,Rikitea,PF,76.95,few clouds,-23.1203,-134.9692,People ThankYou
17,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
18,East London,ZA,68.07,clear sky,-33.0153,27.9116,Tu Casa
20,Ilhabela,BR,68.22,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
22,Craig,US,82.35,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
23,Hilo,US,86.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
26,Frederick,US,74.21,scattered clouds,39.4668,-77.3997,Hampton Inn & Suites Frederick-Fort Detrick
27,Smithers,CA,50.32,light intensity shower rain,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
29,Geraldton,AU,52.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
30,Port Alfred,ZA,70.59,clear sky,-33.5906,26.891,The Halyards Hotel
31,Esperance,AU,54.91,clear sky,-33.8667,121.9,Hospitality Esperance
34,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
37,Kodiak,US,60.31,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
41,Cape Town,ZA,73.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
42,Gizo,SB,82.65,few clouds,-8.103,156.8419,Imagination Island
43,Sungaipenuh,ID,65.08,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
44,Norman Wells,CA,55.44,few clouds,65.282,-126.8329,Heritage Hotel
46,Bethel,US,69.89,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
