City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,82.69,72,8,11.95,clear sky
1,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,83,75,13.8,light rain
2,Bengkulu,ID,-3.8004,102.2655,73.27,87,100,7.54,light rain
3,Jamestown,US,42.097,-79.2353,40.59,51,0,16.11,clear sky
4,Luoyang,CN,34.6836,112.4536,33.94,57,100,1.92,overcast clouds
5,Kapaa,US,22.0752,-159.319,73.72,78,20,5.75,few clouds
6,Vaini,TO,-21.2,-175.2,80.76,83,40,10.63,scattered clouds
7,Sur,OM,22.5667,59.5289,73.53,71,3,6.55,clear sky
8,Albany,US,42.6001,-73.9662,36.81,48,24,4,few clouds
9,Mataura,NZ,-46.1927,168.8643,65.25,69,100,5.59,moderate rain
10,Kavieng,PG,-2.5744,150.7967,78.49,83,100,8.32,light rain
11,Port Alfred,ZA,-33.5906,26.891,77.11,83,100,9.31,light rain
12,Ilulissat,GL,69.2167,-51.1,3.22,51,75,9.22,broken clouds
13,Ushuaia,AR,-54.8,-68.3,47.82,81,75,31.07,moderate rain
14,Yellowknife,CA,62.456,-114.3525,-21.71,73,0,10.36,clear sky
15,Bahar,IR,34.9072,48.4414,17.76,86,0,9.22,clear sky
16,Bonthe,SL,7.5264,-12.505,80.04,79,85,12.82,overcast clouds
17,Tuktoyaktuk,CA,69.4541,-133.0374,-22,69,20,5.75,few clouds
18,Yaounde,CM,3.8667,11.5167,76.53,73,20,3.44,few clouds
19,Sao Filipe,CV,14.8961,-24.4956,76.17,70,100,5.88,overcast clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,84.16,86,90,5.01,overcast clouds
21,Tortoli,IT,39.9256,9.6572,49.82,46,20,6.91,few clouds
22,Asfi,MA,32.2994,-9.2372,62.71,55,0,17.09,clear sky
23,Cidreira,BR,-30.1811,-50.2056,75.52,64,20,9.82,few clouds
24,Hobart,AU,-42.8794,147.3294,51.66,60,20,17.27,few clouds
25,Saint-Joseph,RE,-21.3667,55.6167,79.16,91,67,21.81,moderate rain
26,Sillod,IN,20.3,75.65,66.78,32,0,4.47,clear sky
27,Busselton,AU,-33.65,115.3333,61.05,66,54,17.74,broken clouds
28,Salemi,IT,37.8231,12.8056,50.32,67,8,20.45,clear sky
29,Grindavik,IS,63.8424,-22.4338,37.87,56,75,18.41,light rain
30,Mar Del Plata,AR,-38.0023,-57.5575,84.87,45,0,18.01,clear sky
31,Ribeira Grande,PT,38.5167,-28.7,61.2,72,20,12.66,few clouds
32,Clyde River,CA,70.4692,-68.5914,-19.97,63,100,4.61,overcast clouds
33,Hilo,US,19.7297,-155.09,76.62,94,100,6.91,light rain
34,Tiksi,RU,71.6872,128.8694,-15.63,100,100,3.4,overcast clouds
35,Rikitea,PF,-23.1203,-134.9692,78.04,70,100,7.25,overcast clouds
36,Denpasar,ID,-8.65,115.2167,78.46,94,20,3.44,few clouds
37,Sibolga,ID,1.7427,98.7792,74.05,95,100,2.37,overcast clouds
38,Moron,AR,-34.6534,-58.6198,88.02,46,6,4.03,clear sky
39,Carnarvon,AU,-24.8667,113.6333,77.07,83,100,18.41,overcast clouds
40,Dikson,RU,73.5069,80.5464,3.52,93,100,19.13,overcast clouds
41,Labuhan,ID,-6.8844,112.2051,77.41,88,97,5.32,overcast clouds
42,Kargil,IN,34.5667,76.1,-11.88,90,92,3.22,overcast clouds
43,Norman Wells,CA,65.282,-126.8329,-16.56,69,75,3.44,broken clouds
44,Christchurch,NZ,-43.5333,172.6333,73.6,65,100,1.01,overcast clouds
45,Say,NE,13.1007,2.3689,77.56,10,3,9.48,clear sky
46,Richards Bay,ZA,-28.783,32.0377,77.97,79,100,12.44,overcast clouds
47,Guerrero Negro,MX,27.9769,-114.0611,63.41,61,100,12.73,overcast clouds
48,Mattru,SL,7.6244,-11.8332,80.92,63,93,8.21,overcast clouds
49,Punta Arenas,CL,-53.15,-70.9167,53.62,50,40,37.98,scattered clouds
50,New Norfolk,AU,-42.7826,147.0587,51.3,57,8,1.01,clear sky
51,Kolomna,RU,55.0794,38.7783,28.02,93,88,10.04,overcast clouds
52,Victoria,HK,22.2855,114.1577,60.94,90,100,8.99,overcast clouds
53,Lata,PT,40.1629,-8.3327,59.41,66,0,5.59,clear sky
54,Mazara Del Vallo,IT,37.6641,12.588,53.55,61,0,23.22,clear sky
55,Bluff,NZ,-46.6,168.3333,62.2,80,100,9.31,overcast clouds
56,Lebu,CL,-37.6167,-73.65,65.59,70,0,12.44,clear sky
57,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,18.41,moderate rain
58,Kruisfontein,ZA,-34.0033,24.7314,74.88,73,99,3.76,overcast clouds
59,Provideniya,RU,64.3833,-173.3,7.47,69,6,23.29,clear sky
60,Castro,BR,-24.7911,-50.0119,79.14,56,3,4.61,clear sky
61,Banda Aceh,ID,5.5577,95.3222,77.63,80,18,4.47,few clouds
62,Bubaque,GW,11.2833,-15.8333,79.16,74,6,12.64,clear sky
63,Alofi,NU,-19.0595,-169.9187,78.69,83,0,2.3,clear sky
64,Pisco,PE,-13.7,-76.2167,78.85,57,0,14.97,clear sky
65,Bethel,US,41.3712,-73.414,36.48,60,40,1.99,scattered clouds
66,Mahebourg,MU,-20.4081,57.7,80.89,89,75,18.41,broken clouds
67,Belmonte,BR,-15.8631,-38.8828,86.5,67,2,10.51,clear sky
68,Kismayo,SO,-0.3582,42.5454,78.87,85,100,14.76,overcast clouds
69,Nikolskoye,RU,59.7035,30.7861,24.69,99,100,2.42,overcast clouds
70,Atuona,PF,-9.8,-139.0333,78.42,77,25,23.22,light rain
71,Saint George,US,37.1041,-113.5841,54.07,27,0,1.99,clear sky
72,Hutchinson,US,38.0608,-97.9298,46.47,45,100,7,overcast clouds
73,Taganak,PH,6.0833,118.3,77.14,77,100,10.58,overcast clouds
74,Alberton,CA,46.8168,-64.0654,15.71,84,36,4.54,scattered clouds
75,Pevek,RU,69.7008,170.3133,-13.14,89,97,2.8,overcast clouds
76,Anadyr,RU,64.75,177.4833,16.3,62,0,17.9,clear sky
77,Aklavik,CA,68.2191,-135.0107,-10.37,76,40,3.44,scattered clouds
78,Szigetvar,HU,46.0486,17.8055,34.75,77,13,3.18,few clouds
79,Hornepayne,CA,49.2138,-84.7705,32.83,89,100,16.69,light snow
80,Krasnyy Chikoy,RU,50.3643,108.7512,-3.48,100,100,2.46,overcast clouds
81,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.46,66,11,9.1,few clouds
82,Ponta Do Sol,PT,32.6667,-17.1,66,72,1,11.25,clear sky
83,Mildura,AU,-34.2,142.15,57.16,58,0,10.36,clear sky
84,Ovre Ardal,NO,61.3167,7.8,23.88,92,100,5.46,overcast clouds
85,Swellendam,ZA,-34.0226,20.4417,81.72,55,10,4.03,clear sky
86,Kandrian,PG,-6.2167,149.55,77.32,88,100,10.74,light rain
87,Cocentaina,ES,38.7398,-0.4398,51.26,56,0,5.53,clear sky
88,Namibe,AO,-15.1961,12.1522,73.92,69,2,12.39,clear sky
89,Qaanaaq,GL,77.484,-69.3632,-17.55,79,100,10.29,overcast clouds
90,Ligatne,LV,57.2343,25.0406,26.26,95,100,1.99,overcast clouds
91,Saint-Philippe,RE,-21.3585,55.7679,80.15,93,89,21.85,moderate rain
92,Severo-Kurilsk,RU,50.6789,156.125,26.55,79,79,9.46,broken clouds
93,Airai,TL,-8.9266,125.4092,59.61,84,89,3.53,overcast clouds
94,Sao Joao Da Barra,BR,-21.6403,-41.0511,91.49,78,95,6.02,overcast clouds
95,Pemangkat,ID,1.1667,108.9667,76.91,90,51,9.28,light rain
96,Thompson,CA,55.7435,-97.8558,-14.64,64,20,11.5,few clouds
97,San Patricio,US,28.017,-97.5169,73.18,56,4,3.65,clear sky
98,Hami,CN,42.8,93.45,22.48,33,65,2.06,broken clouds
99,Alyangula,AU,-13.8483,136.4192,80.47,89,40,10.36,scattered clouds
100,Namwala,ZM,-15.7504,26.4384,66.97,95,30,1.97,light rain
101,Shymkent,KZ,42.3,69.6,32.59,80,4,4.47,clear sky
102,Aloleng,PH,16.1307,119.7824,75.9,74,1,11.99,clear sky
103,Ibra,OM,22.6906,58.5334,71.98,19,8,2.82,clear sky
104,Cape Town,ZA,-33.9258,18.4232,72.12,75,20,1.01,few clouds
105,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,80,75,24.61,light shower snow
106,Nichinan,JP,31.6,131.3667,39.76,72,71,6.11,broken clouds
107,Longyan,CN,25.1072,117.0225,50.9,99,100,2.1,overcast clouds
108,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,75,92,10.09,overcast clouds
109,San Cristobal,VE,7.7669,-72.225,77.18,30,89,8.08,overcast clouds
110,Sanchazi,CN,42.0817,126.6003,-3.42,99,67,1.83,broken clouds
111,Kutum,SD,14.2,24.6667,60.82,20,5,6.96,clear sky
112,Samarai,PG,-10.6167,150.6667,80.8,78,100,12.06,light rain
113,Codrington,AU,-38.2667,141.9667,57.18,52,88,15.08,overcast clouds
114,Geraldton,AU,-28.7667,114.6,84.61,26,8,19.57,clear sky
115,Tuatapere,NZ,-46.1333,167.6833,65.05,87,100,7.4,overcast clouds
116,Kaitangata,NZ,-46.2817,169.8464,60.1,93,100,4.54,light rain
117,Port Lincoln,AU,-34.7333,135.8667,59.79,59,22,17.02,few clouds
118,Salinas,US,36.6777,-121.6555,58.17,43,0,9.22,clear sky
119,Frontera,MX,26.9333,-101.45,75.33,26,0,3,clear sky
120,Kangaatsiaq,GL,68.3065,-53.4641,3.02,94,100,8.21,overcast clouds
121,Colmenar Viejo,ES,40.6591,-3.7676,54.18,57,0,4.7,clear sky
122,Katsuura,JP,35.1333,140.3,39.31,45,78,14.25,broken clouds
123,Santa Fe,AR,-31.6333,-60.7,97.02,37,0,4,clear sky
124,Praya,CV,14.9215,-23.5087,77.54,65,98,13.8,overcast clouds
125,Bredasdorp,ZA,-34.5322,20.0403,76.3,73,1,2.86,clear sky
126,Byron Bay,AU,-28.65,153.6167,80.55,85,100,5.23,overcast clouds
127,Aksu,CN,41.1231,80.2644,23.47,50,0,0.47,clear sky
128,Kodiak,US,57.79,-152.4072,38.71,93,100,18.41,light rain
129,Nanortalik,GL,60.1432,-45.2371,10.83,78,12,12.21,few clouds
130,Lima,PE,-12.0432,-77.0282,73.65,69,0,14.97,clear sky
131,Mandalgovi,MN,45.7625,106.2708,-0.96,73,0,7.07,clear sky
132,Pierre,US,44.3683,-100.351,27.05,53,0,18.01,clear sky
133,Carutapera,BR,-1.195,-46.02,80.71,83,97,8.84,overcast clouds
134,Tieling,CN,42.2931,123.8414,11.89,64,0,6.24,clear sky
135,Vila Velha,BR,-20.3297,-40.2925,91.35,72,20,7,few clouds
136,Katiola,CI,8.1333,-5.1,82.4,12,29,3.78,scattered clouds
137,Guhagar,IN,17.4842,73.1929,69.62,68,5,6.08,clear sky
138,Hermanus,ZA,-34.4187,19.2345,71.91,85,21,1.01,few clouds
139,Khandyga,RU,62.6667,135.6,-27.15,100,100,0.85,overcast clouds
140,Salalah,OM,17.0151,54.0924,71.69,60,0,5.75,clear sky
141,Fairbanks,US,64.8378,-147.7164,-16.02,74,0,0,clear sky
142,Lar,IN,26.2039,83.9717,54.12,73,0,5.06,clear sky
143,Georgetown,MY,5.4112,100.3354,82.89,84,20,3.44,few clouds
144,Alice Springs,AU,-23.7,133.8833,72.95,100,100,5.75,moderate rain
145,Bambanglipuro,ID,-7.95,110.2833,61.61,87,94,4.54,overcast clouds
146,Parana,AR,-31.732,-60.5238,96.57,39,0,4.56,clear sky
147,Faanui,PF,-16.4833,-151.75,81,75,4,18.81,clear sky
148,Amga,RU,60.8953,131.9608,-12.98,97,100,4.18,overcast clouds
149,Monywa,MM,22.1167,95.1333,62.31,53,2,1.61,clear sky
150,Puri,IN,19.8,85.85,70.32,75,10,11.61,clear sky
151,Choloma,HN,15.6144,-87.953,89.76,55,20,3.44,few clouds
152,Lianzhou,CN,24.7811,112.3825,41.79,95,100,4.05,light rain
153,Saskylakh,RU,71.9167,114.0833,-28.21,100,52,2.06,broken clouds
154,Bilma,NE,18.6853,12.9164,59.65,19,0,5.12,clear sky
155,Oussouye,SN,12.485,-16.5469,89.78,33,1,8.75,clear sky
156,Kununurra,AU,-15.7667,128.7333,78.78,89,75,10.36,broken clouds
157,Isangel,VU,-19.55,169.2667,77.61,83,100,3.38,overcast clouds
158,El Alto,PE,-4.2714,-81.2147,87.46,64,17,17.94,few clouds
159,Nuuk,GL,64.1835,-51.7216,9.88,78,100,6.91,light shower snow
160,Pouebo,NC,-20.4,164.5667,78.69,82,51,2.44,broken clouds
161,Honavar,IN,14.2833,74.45,71.85,76,0,2.91,clear sky
162,Tromso,NO,69.6496,18.957,19.42,73,0,2.3,clear sky
163,Marinette,US,45.1,-87.6307,41.45,70,100,13.8,overcast clouds
164,Barrow,US,71.2906,-156.7887,-16.58,76,40,5.75,scattered clouds
165,Khatanga,RU,71.9667,102.5,-35.68,100,21,2.84,few clouds
166,Saldanha,ZA,-33.0117,17.9442,68.05,95,22,8.34,few clouds
167,Waipawa,NZ,-41.4122,175.5153,67.46,73,100,6.33,overcast clouds
168,Jalu,LY,29.0331,21.5482,59.27,34,100,11.25,overcast clouds
169,Narsaq,GL,60.9167,-46.05,19.62,91,64,3.02,broken clouds
170,Elko,US,41.0002,-115.5012,26.62,53,1,2.93,clear sky
171,Abu Samrah,SY,35.3029,37.1841,50.79,70,100,4.14,overcast clouds
172,Kahului,US,20.8947,-156.47,78.82,69,20,13.8,few clouds
173,Kathu,TH,7.9178,98.3332,75.02,74,81,7.54,broken clouds
174,Half Moon Bay,US,37.4636,-122.4286,59.18,33,0,5.99,clear sky
175,Majene,ID,-3.5403,118.9707,78.76,83,100,5.66,overcast clouds
176,Torbay,CA,47.6666,-52.7314,27.57,55,75,19.57,broken clouds
177,Chuy,UY,-33.6971,-53.4616,75.25,40,0,7.38,clear sky
178,Beringovskiy,RU,63.05,179.3167,-2.18,87,100,13.67,overcast clouds
179,Kaeo,NZ,-35.1,173.7833,71.33,90,100,13.38,overcast clouds
180,Isfana,KG,39.8386,69.5306,28.96,41,98,9.06,overcast clouds
181,Birao,CF,10.2849,22.7882,71.62,18,13,6.4,few clouds
182,Talnakh,RU,69.4865,88.3972,4.21,96,100,9.24,light snow
183,Agadez,NE,19.75,10.25,55.38,21,11,2.57,few clouds
184,Hualmay,PE,-11.0964,-77.6139,75.85,69,41,11.45,scattered clouds
185,Buta,CD,2.7858,24.73,77.59,41,55,1.14,broken clouds
186,Leshukonskoye,RU,64.8989,45.7622,4.55,97,97,5.19,overcast clouds
187,Gisborne,NZ,-38.6533,178.0042,63.23,83,100,5.66,overcast clouds
188,Tolga,DZ,34.7222,5.3785,56.21,52,51,22.24,broken clouds
189,Fort Nelson,CA,58.8053,-122.7002,-15.21,76,75,12.66,broken clouds
190,Sept-Iles,CA,50.2001,-66.3821,7.23,55,75,3,broken clouds
191,Hofn,IS,64.2539,-15.2082,23.72,55,11,5.95,few clouds
192,La Palma,US,33.8464,-118.0467,64.49,68,75,1.99,broken clouds
193,Butembo,CD,0.15,29.2833,61.27,69,100,2.98,overcast clouds
194,Corn Island,NI,12.1694,-83.0418,79.25,70,7,6.51,clear sky
195,Boda,CF,4.3189,17.4695,78.24,19,5,2.91,clear sky
